-----------------------------------------------------------
line,col,  node
 709,  5,                        TEXT
 712,  1,                    tr
 713,  1,                      td
 713,  5,                        a
 713, 30,                          TEXT
 714,  1,                      td
 714,  5,                        TEXT
 716,  1,                    tr
 717,  1,                      td
 717,  5,                        a
 717, 26,                          TEXT
 718,  1,                      td
 718,  5,                        TEXT
 720,  1,                    tr
 721,  1,                      td
 721,  5,                        a
 721, 32,                          TEXT
 722,  1,                      td
 722,  5,                        TEXT
 724,  1,                    tr
 725,  1,                      td
 725,  5,                        a
 725, 30,                          TEXT
 726,  1,                      td
 726,  5,                        TEXT
 728,  1,                    tr
 729,  1,                      td
 729, 24,                        a
 729, 49,                          TEXT
 730,  1,                      td
 730,  5,                        TEXT
 732,  1,                    tr
 733,  1,                      td
 733,  5,                        a
 733, 25,                          TEXT
 734,  1,                      td
 734,  5,                        TEXT
 736,  1,                    tr
 737,  1,                      td
 737,  5,                        a
 737, 29,                          TEXT
 738,  1,                      td
 738,  5,                        TEXT
 740,  1,                    tr
 741,  1,                      td
 741,  5,                        a
 741, 27,                          TEXT
 742,  1,                      td
 742,  5,                        TEXT
 744,  1,                    tr
 745,  1,                      td
 745, 24,                        a
 745, 51,                          TEXT
 746,  1,                      td
 746,  5,                        TEXT
 748,  1,                    tr
 749,  1,                      td
 749,  5,                        a
 749, 25,                          TEXT
 750,  1,                      td
 750,  5,                        TEXT
 752,  1,                    tr
 753,  1,                      td
 753, 24,                        a
 753, 45,                          TEXT
 754,  1,                      td
 754,  5,                        TEXT
 756,  1,                    tr
 757,  1,                      td
 757, 24,                        a
 757, 45,                          TEXT
 758,  1,                      td
 758,  5,                        TEXT
 761,  1,                    tr
 762,  1,                      td
 762, 24,                        a
 762, 47,                          TEXT
 763,  1,                      td
 763,  5,                        TEXT
 765,  1,                    tr
 766,  1,                      td
 766,  5,                        a
 766, 25,                          TEXT
 767,  1,                      td
 767,  5,                        TEXT
 769,  1,                    tr
 770,  1,                      td
 770,  5,                        a
 770, 28,                          TEXT
 771,  1,                      td
 771,  5,                        TEXT
 773,  1,                    tr
 774,  1,                      td
 774,  5,                        a
 774, 30,                          TEXT
